Packagename,Country,Developertype,Target,GeneralInformationFiltered,Infonotfiltered,VocalGuidelines,VideoGuidelines,WrittenGuidelines,MapZonesToAvoid,Sales,TextualZonestoAvoid
com.gov.mcmc.projectcatur,Malaysia,Governmental,Citizen,x,,,,x,,,
com.mohw.corona,SouthKorea,Governmental,Foreigners,,,,,,,,
kg.cdt.stopcovid19,Kyrgyztan,Governmental,Citizen,,,,,,,,
pl.nask.mobywatel,Poland,Governmental,Citizen,x,,,,x,,,
app.ceylon.selftrackingapp,SriLanka,Governmental,Citizen,x,,,,,,,
bf.diagnoseme.fasocivic,BurkinaFaso,Association,Citizen,,x,x,x,x,x,x,
com.moc.gh,Ghana,Governmental,Citizen,,,,,,x,,
com.vost.covid19mobile,Portugal,Governmental,Citizen,,x,,,x,,,
sg.gov.tech.bluetrace,Singapore,Governmental,Citizen,,,,,x,,,
com.joinzoe.covid_zoe,UK/Sweden,Company,Citizen,,,,,,,,
am.gov.covid19,Armenia,Governmental,Citizen,,,,,,,,
sa.gov.nic.tawakkalna,SaudiArabia,Governmental,Citizen,,,,,,,,x
fr.gouv.android.stopcovid,France,Governmental,Citizen,,,,,x,,,
is.landlaeknir.rakning,Iceland,Governmental,Citizen,,,,,,,,
jo.gov.moh.aman,Jordan,Governmental,Citizen,,,,,x,,,
nz.govt.health.covidtracer,NewZealand,Governmental,Citizen,,,,,,,,
es.gob.asistenciacovid19,Spain,Governmental,Citizen,,x,,,,,,
com.moi.covid19,Qatar,Governmental,Citizen,,x,,,,,,
au.gov.health.covid19,Australia,Governmental,Citizen,x,,,,x,,,
at.roteskreuz.stopcorona,Autriche,NGO,Citizen,,,,,,,,
com.proudcrowd.care,USA,Company,Citizen,,,,,,,,
com.ri.crushcovid,USA,Governmental,Citizen,,x,,,,,,
au.gov.health.covidsafe,Australia,Governmental,Citizen,,,,,x,,,
ca.bc.gov.health.hlbc.COVID19,Canada,Governmental,Citizen,x,,,,x,,,
de.kreativzirkel.coronika,Germany,Company,Citizen,,,,,x,,,
com.coronacheck.haugxhaug.testyourcorona,Germany,Researchers,Citizen,x,,,,x,,
cat.gencat.mobi.StopCovid19Cat,Spain,Governmental,Citizen,,,,,x,,,
cat.gencat.mobi.confinApp,Spain,Governmental,Citizen,x,,,,,,,
com.ambulis.aphm.covid,France,Company,Patients,,,,,x,,,
fr.aphp.covidom,France,Hospital,Patients,,,,,,,,
appinventor.ai_david_taylor.Coronavirus_help2020,Worldwide,Independent,Citizen,,x,,,,,
uy.gub.salud.plancovid19uy,Uruguay,Governmental,Citizen,,,,,,,,
com.covid19_algeria,Algeria,Governmental,Citizen,,x,,,,,,
com.agetic.coronavirusapp,Bolivia,Governmental,Citizen,x,,,,x,,,
ch.covid19bs.app.PMSMobile,Switzerland,Governmental,Citizen,,,,,x,,,
es.gva.coronavirus,Soain,Governmental,Citizen,,x,,,,,,
com.govpk.covid19,Pakistan,Governmental,Citizen,,,,,,,,
covid19care.virus.coronavirus.corona.sick.marcom.health.pakistan,Pakistan,Company,Media Journalists,,x,,,x,,
com.tommasomauriello.autocertificazionecoronavirus,Italia,Independent,Citizen,,,,,,,
ca.gc.hcsc.canada.covid19,Canada,Governmental,Citizen,x,x,,,x,,,
