Packagename,HealthDiary,QrCodeTracing,AutomatedGeo-Monitoring,AreYouInfected?,ReportCovidCase,GPSContactTracing,AutomaticDiagnosis,Live-AssistanceChat,BluetoothContactTracing,PersonnalDataCollection,CurrentTreatment
com.gov.mcmc.projectcatur,,,,,,x,,,,,
com.mohw.corona,x,,,,,,,,,,
kg.cdt.stopcovid19,,,x,x,x,,,,,,
pl.nask.mobywatel,,,,,,,,,,,
app.ceylon.selftrackingapp,,,x,,,,,,,,
bf.diagnoseme.fasocivic,,,,,,,x,x,,,
com.moc.gh,,,,,,,x,,,,
com.vost.covid19mobile,,,,,,,,,,,
sg.gov.tech.bluetrace,,,,,,,,,x,,
com.joinzoe.covid_zoe,x,,,x,,,x,,,x,x
am.gov.covid19,,,,,,,x,,,,
sa.gov.nic.tawakkalna,,,,,x,,x,,,,
fr.gouv.android.stopcovid,,,,x,,,,,x,,
is.landlaeknir.rakning,,,x,x,,x,,,,,
jo.gov.moh.aman,,,x,x,,,,,,,
nz.govt.health.covidtracer,,x,,,,,,,,x,
es.gob.asistenciacovid19,,,x,,,,x,,,x,
com.moi.covid19,,,x,,,,,,,x,
au.gov.health.covid19,,,,,,,x,,,,
at.roteskreuz.stopcorona,,,,x,,,x,,x,,
com.proudcrowd.care,,,,x,,x,,,,,
com.ri.crushcovid,,,x,x,,x,x,,,,
au.gov.health.covidsafe,,,,x,x,,,,x,,
ca.bc.gov.health.hlbc.COVID19,,,,,,x,,,,x,
de.kreativzirkel.coronika,x,,,,,,,,,,
gcom.coronacheck.haugxhaug.testyourcorona,,,,,,,x,,,,
cat.gencat.mobi.StopCovid19Cat,x,,,x,,,x,,,,
cat.gencat.mobi.confinApp,,,,,,,,,,,
com.ambulis.aphm.covid,x,,,,,,x,,,,
fr.aphp.covidom,x,,,,,,x,,,,
appinventor.ai_david_taylor.Coronavirus_help2020,,,,,,,,,,,
uy.gub.salud.plancovid19uy,x,,,,,,x,,,x,
com.covid19_algeria,,,x,,,,,,,x,
com.agetic.coronavirusapp,,,,,,,x,,,,
ch.covid19bs.app.PMSMobile,,,,x,,,x,,,,
es.gva.coronavirus,,,,,,,x,,,,
com.govpk.covid19,,,,,,,,,,,
gcovid19care.virus.coronavirus.corona.sick.marcom.health.pakistan,,,,,x,,,,,,
com.tommasomauriello.autocertificazionecoronavirus,,,,,,,,,,x,
ca.gc.hcsc.canada.covid19,,,,,,,x,,,,
com.krrsoftwaresolutions11.Facemasks,,,,,,,,,,,
it.adilife.covid19.app,x,,,,,,x,,,x,
it.adl.aslroma3.covid19.app,x,,,,,,x,,,x,
com.coronavirus.facemask,,,,,,,,,,,
com.osapps.covid19,,,,,,,,,,,
com.maithu.transplantbuddy.covid19,x,,x,,,,x,,,,x
ar.gob.coronavirus,,,x,,,,x,,,,
com.bloomreality.sodi,,,,,,,,,,,
br.gov.datasus.guardioes,,,,,,,x,,,,
cz.covid19cz.erouska,,,,x,,,,,x,,
com.covid19.dgmup,,,,,,,,,,x,
com.docandu.checker,,,,,,,x,x,,,
it.softmining.projects.covid19.savelifestyle,,,,,,x,x,,,,
nic.goi.aarogyasetu,,,,x,,,,,x,,
com.dawsoftware.contacttracker,x,,,,,x,x,,,,
com.hamagen,,,x,x,,,x,,,,
hu.gov.virusradar,,,,,,x,,,x,,
world.coalition.app,,,,x,,,,,x,,
mk.gov.koronavirus.stop,,,,x,,,,,x,,
org.sshield.selfshield,x,,,,,,x,,,,
org.pathcheck.covidsafepaths,,,,x,,x,,,,,
com.knasirayaz.mohapcovid,,,,,,,,,,,
gov.georgia.novid20,,,,x,,x,,,x,,
nl.lumc.covidradar,,,,,,,,,,x,
com.Eha.covid_19,,,x,,,,,,,,
covid.trace.morocco,,,,x,,,,,x,,
ru.mos.socmon,,,x,,,,,,,x,
org.prixa.p5covidtracker,x,,,x,,,x,,,x,
de.bssd.covid19,,,,x,,,,,,,
com.edu.aku.akuhccheck,,,,,,,x,,,,
com.pixxonai.covid19,x,,x,,,,x,,,x,
de.rki.coronadatenspende,x,,,,,,,,,,
mx.gob.www,,,,,,,x,,,,
tr.gov.saglik.koronaonlem,,,x,,,,x,,,x,
com.telkom.tracencare,,,,x,,,,,x,,
co.gov.ins.guardianes,x,,x,x,,,x,,,x,
bh.bahrain.corona.tracker,,,x,x,,x,,,x,x,
bg.government.virusafe,x,,x,x,,x,x,,,,
