Packagename,Live-AssistancePhone,UserdataGeo-Monitoring,LocationDiary,VirtualAssistant,Live-AssistanceVideo,Social-Distancing,Appointment,Entertainment,Sales,Education,DocumentCreation
com.gov.mcmc.projectcatur,,,,,,,,,,,
com.mohw.corona,,,,,,,,,,,
kg.cdt.stopcovid19,,,,,,,,,,,
pl.nask.mobywatel,,,,,,,,,,,
app.ceylon.selftrackingapp,,,,,,,,,,,
bf.diagnoseme.fasocivic,,,,,,,,,x,x,
com.moc.gh,,,,,,,,,,,
com.vost.covid19mobile,,,,,,,,,,,
sg.gov.tech.bluetrace,,,,,,,,,,,
com.joinzoe.covid_zoe,,,,,,,,,,,
am.gov.covid19,,,,,,,,,,,
sa.gov.nic.tawakkalna,,,,,,,,,,,x
fr.gouv.android.stopcovid,,,,,,,,,,,
is.landlaeknir.rakning,,,,,,,,,,,
jo.gov.moh.aman,,,,,,,,,,,
nz.govt.health.covidtracer,,,x,,,,,,,,
es.gob.asistenciacovid19,,,,,,,,,,,
com.moi.covid19,x,,,,,,,,,,
au.gov.health.covid19,,,,,,,,,,,
at.roteskreuz.stopcorona,,,,,,,,,,,
com.proudcrowd.care,,x,x,,,,,,,,
com.ri.crushcovid,,,x,,,,,,,,
au.gov.health.covidsafe,,,,,,,,,,,
ca.bc.gov.health.hlbc.COVID19,,,,,,,,,,,
de.kreativzirkel.coronika,,x,,,,,,,,,
com.coronacheck.haugxhaug.testyourcorona,,,,,,,,,,,
cat.gencat.mobi.StopCovid19Cat,,,,,,,,,,,
cat.gencat.mobi.confinApp,,,,x,,,,,,,x
com.ambulis.aphm.covid,,,,,,,,,,,
fr.aphp.covidom,x,,,,,,,,,,
appinventor.ai_david_taylor.Coronavirus_help2020,,,,,,,,,,,
uy.gub.salud.plancovid19uy,,,,,x,,,,,,
com.covid19_algeria,,,,,,,,,,,
com.agetic.coronavirusapp,,,,,,,,,,,
ch.covid19bs.app.PMSMobile,,,,,,,,,,,
es.gva.coronavirus,,,,,,,x,,,,
com.govpk.covid19,,,,,,,,,,,
covid19care.virus.coronavirus.corona.sick.marcom.health.pakistan,,,,,,,,,,,
com.tommasomauriello.autocertificazionecoronavirus,,,,,,,,,,,x
ca.gc.hcsc.canada.covid19,,,,,,,,,,,
com.krrsoftwaresolutions11.Facemasks,,,,,,,,,x,,
it.adilife.covid19.app,,,,,x,,,,,,
it.adl.aslroma3.covid19.app,,,,,x,,,,,,
com.coronavirus.facemask,,,,,,,,x,,,
com.osapps.covid19,,,,,,,,,,,
com.maithu.transplantbuddy.covid19,,,,,,,,,,,
ar.gob.coronavirus,,,,,,,,,,,x
com.bloomreality.sodi,,,,,,x,,,,,
br.gov.datasus.guardioes,,,,,,,,,,,
cz.covid19cz.erouska,x,,,,,,,,,,
com.covid19.dgmup,,,x,,,,,,,,
com.docandu.checker,,,,,,,,,,,
it.softmining.projects.covid19.savelifestyle,,,,,,,,,,,
nic.goi.aarogyasetu,,,,,,,,,,,
com.dawsoftware.contacttracker,,,,,,,,,,,
com.hamagen,,,,,,,,,,,
hu.gov.virusradar,,,,,,,,,,,
world.coalition.app,,,,,,,,,,,
mk.gov.koronavirus.stop,,,,,,,,,,,
org.sshield.selfshield,,,,,,,,,,,
org.pathcheck.covidsafepaths,,,x,,,,,,,,
com.knasirayaz.mohapcovid,x,,,,,,,,,,
gov.georgia.novid20,,,,,,,,,,,
nl.lumc.covidradar,,,,,,,,,,,
com.Eha.covid_19,,,,x,x,,,,,,
covid.trace.morocco,,,,,,,,,,,
ru.mos.socmon,,,,,,,,,,,
org.prixa.p5covidtracker,,,,,,,,,,,
de.bssd.covid19,,,,,,,,,,,
com.edu.aku.akuhccheck,,,,x,,x,,,,,
com.pixxonai.covid19,,,,,,,,,,,
de.rki.coronadatenspende,,,,,,,,,,,
mx.gob.www,,,,,,,,,,,
tr.gov.saglik.koronaonlem,,,x,,,,,,,,
com.telkom.tracencare,x,,,,,,,,,,
co.gov.ins.guardianes,,,,,,,,,,,
bh.bahrain.corona.tracker,,,,,,,,,,,
bg.government.virusafe,,,,,,,,,,,
